class,filename,is_aug,source_original,day,shift_samples,stretch_scale,gain,noise_snr_db
clipper,T1.csv,0,,6,,,,
clipper,T2.csv,0,,3,,,,
clipper,T3.csv,0,,2,,,,
clipper,T4.csv,0,,2,,,,
clipper,T5.csv,0,,7,,,,
clipper,T6.csv,0,,1,,,,
clipper,T7.csv,0,,5,,,,
clipper,T8.csv,0,,7,,,,
clipper,T9.csv,0,,9,,,,
clipper,T10.csv,0,,2,,,,
clipper,T11.csv,0,,3,,,,
clipper,T12.csv,0,,7,,,,
clipper,T13.csv,0,,1,,,,
clipper,T14.csv,0,,6,,,,
clipper,T15.csv,0,,1,,,,
clipper,T16.csv,0,,5,,,,
clipper,T17.csv,0,,3,,,,
clipper,T18.csv,0,,1,,,,
clipper,T19.csv,0,,5,,,,
clipper,T20.csv,0,,4,,,,
clipper,T21.csv,0,,10,,,,
clipper,T22.csv,0,,8,,,,
clipper,T23.csv,0,,1,,,,
clipper,T24.csv,0,,9,,,,
clipper,T25.csv,0,,7,,,,
clipper,T26.csv,0,,5,,,,
clipper,T27.csv,0,,1,,,,
clipper,T28.csv,0,,4,,,,
clipper,T29.csv,0,,3,,,,
clipper,T30.csv,0,,7,,,,
clipper,T31.csv,0,,9,,,,
clipper,T32.csv,0,,4,,,,
clipper,T33.csv,0,,1,,,,
clipper,T34.csv,0,,4,,,,
clipper,T35.csv,0,,4,,,,
clipper,T36.csv,0,,3,,,,
clipper,T37.csv,0,,3,,,,
clipper,T38.csv,0,,5,,,,
clipper,T39.csv,0,,8,,,,
clipper,T40.csv,0,,7,,,,
clipper,T41.csv,0,,6,,,,
clipper,T42.csv,0,,2,,,,
clipper,T43.csv,0,,5,,,,
clipper,T44.csv,0,,7,,,,
clipper,T45.csv,0,,8,,,,
clipper,T46.csv,0,,4,,,,
clipper,T47.csv,0,,3,,,,
clipper,T48.csv,0,,8,,,,
clipper,T49.csv,0,,10,,,,
clipper,T50.csv,0,,9,,,,
clipper,T51.csv,0,,6,,,,
clipper,T52.csv,0,,2,,,,
clipper,T53.csv,0,,10,,,,
clipper,T54.csv,0,,2,,,,
clipper,T55.csv,0,,10,,,,
clipper,T56.csv,0,,6,,,,
clipper,T57.csv,0,,6,,,,
clipper,T58.csv,0,,4,,,,
clipper,T59.csv,0,,8,,,,
clipper,T60.csv,0,,2,,,,
clipper,T61.csv,0,,8,,,,
clipper,T62.csv,0,,6,,,,
clipper,T63.csv,0,,5,,,,
clipper,T64.csv,0,,10,,,,
clipper,T65.csv,0,,9,,,,
clipper,T66.csv,0,,10,,,,
clipper,T67.csv,0,,9,,,,
clipper,T68.csv,0,,8,,,,
clipper,T69.csv,1,T27.csv,1,-117,1.0,1.0,19.87193424403443
clipper,T70.csv,1,T6.csv,1,39,1.0,1.0965767862665619,22.59858439136702
clipper,T71.csv,1,T6.csv,1,0,1.0,1.0,
clipper,T72.csv,1,T27.csv,1,1,1.0496069478683179,0.9133503772597399,
clipper,T73.csv,1,T15.csv,1,-94,1.0,0.9639668066133948,26.499888588935644
clipper,T74.csv,1,T13.csv,1,-62,1.0,0.9589750760562183,
clipper,T75.csv,1,T13.csv,1,-52,1.0049754436011165,1.0239136345765518,24.800009445001976
clipper,T76.csv,1,T13.csv,1,0,1.0431139270946146,1.0,19.322933840166797
clipper,T77.csv,1,T27.csv,1,-16,0.9315054651107033,1.0,24.398652027697576
clipper,T78.csv,1,T6.csv,1,102,1.0,1.0,24.298180254525512
clipper,T79.csv,1,T27.csv,1,37,1.0,0.9796215286306902,25.378759665176766
clipper,T80.csv,1,T27.csv,1,70,1.0817717369462667,1.0316933421479675,
clipper,T81.csv,1,T23.csv,1,81,1.0,0.9118075349726149,20.13783997495355
clipper,T82.csv,1,T6.csv,1,52,1.0832103262626485,1.0,27.726309412376246
clipper,T83.csv,1,T23.csv,1,0,1.0,0.9318302582853435,
clipper,T84.csv,1,T18.csv,1,0,1.0,1.034747435542038,
clipper,T85.csv,1,T6.csv,1,0,1.0,0.8956233793061544,20.64238700607363
clipper,T86.csv,1,T6.csv,1,-31,1.0296322033467487,1.0974074595892875,
clipper,T87.csv,1,T6.csv,1,0,0.9699291384840222,1.0300937512301034,
clipper,T88.csv,1,T13.csv,1,-50,1.0,1.0,
clipper,T89.csv,1,T13.csv,1,89,0.9035764781677683,0.974505791299631,24.67796301988078
clipper,T90.csv,1,T23.csv,1,0,0.9890196746858508,0.9527978186741085,
clipper,T91.csv,1,T23.csv,1,0,1.0,1.0990771959451897,20.157263632267647
clipper,T92.csv,1,T3.csv,2,0,1.0096724677751583,0.88866062780197,19.798530893482393
clipper,T93.csv,1,T52.csv,2,-21,0.9649424855524403,0.8903603908941894,18.41752240443575
clipper,T94.csv,1,T4.csv,2,-41,0.9648776005374218,0.9865372216956748,21.890568595765817
clipper,T95.csv,1,T54.csv,2,-90,0.9826714225618418,0.9437969479370231,
clipper,T96.csv,1,T54.csv,2,15,1.0676258270755807,1.0267240487900624,
clipper,T97.csv,1,T54.csv,2,0,1.0,0.9925157068771902,
clipper,T98.csv,1,T52.csv,2,137,0.9562502576754914,1.0,
clipper,T99.csv,1,T42.csv,2,-78,1.0083552337828523,1.0,
clipper,T100.csv,1,T4.csv,2,-222,1.0,0.9715401555105152,29.35934192256017
clipper,T101.csv,1,T42.csv,2,0,0.9732226431421162,1.0,
clipper,T102.csv,1,T52.csv,2,-173,0.904631990929183,1.1167544299742662,20.826359905687323
clipper,T103.csv,1,T10.csv,2,-56,1.0,0.8812026201811539,29.398911915571112
clipper,T104.csv,1,T60.csv,2,-71,1.0,0.9284950439513177,22.748460014753157
